handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Product,Wandering Fern Unisex Hoodie,Who knew that the softest hoodie you'll ever hike in comes with ferns and a heart just for you.,e13df5_410f997704d9451f9ba645abbb24ebb6~mv2.jpg;e13df5_451ac887f1914cafbdb223fd57da4cf1~mv2.jpg;e13df5_9ed3b9631f9c4513884d83ba8e09fe2b~mv2.jpg;e13df5_84a019285c674ad9acada3ff86627c3e~mv2.jpg;e13df5_da649c5809f645908fa4fa5cff5d64ff~mv2.jpg;e13df5_b26835a5a58a480fa6650216b0402d15~mv2.jpg;e13df5_0153d88e44ec4a6cb12a0b8f47f4db20~mv2.jpg;e13df5_401b0d4b620d4ee8828324ac976c78a1~mv2.jpg;e13df5_2a76ea6bd0ad49bdbc47f349bff113f8~mv2.jpg;e13df5_abd2bdf5563e4ec2bfc22a9ff9db517e~mv2.jpg;e13df5_3b481f3830eb4ba48a0411a4929841a6~mv2.jpg;e13df5_6c8d917599714dad850959ce787104de~mv2.jpg;e13df5_2174c734bc5c48c8b39b1e6448b34fff~mv2.jpg;e13df5_a4b4dbb48a884c1cb3038610caa5b28b~mv2.jpg;e13df5_573c7e5cc03143ea9dd5197df2f849b7~mv2.jpg;e13df5_a64b8d5a77ac4723b2b21ac540524420~mv2.jpg;e13df5_ade969c827e641dd8d82020f79b41666~mv2.jpg;e13df5_2b1193aea1884ff2b615bc1f370ecf51~mv2.jpg;e13df5_def0710f077143729b2f3eb7695836b5~mv2.jpg;e13df5_ccd5d55737a34b08a29e737299faeca9~mv2.jpg;e13df5_b0c7381bf84a432190abe5860dd41427~mv2.jpg;e13df5_cf825273fe6a4d84bf4dd252aa9a81ef~mv2.jpg;e13df5_088e4f51168448c698f0d79e2d718212~mv2.jpg;e13df5_658ad8058254499596f3506b48348c05~mv2.jpg;e13df5_1522e59e1c954c658f498bfdd84efb8c~mv2.jpg;e13df5_cab80837be7d4c039e6616a2d1a6ae29~mv2.jpg;e13df5_06279d81962545bd888cdb9cf850488f~mv2.jpg;e13df5_85212a37633f43b2966418d8dc13dda4~mv2.jpg;e13df5_22eeb488dac748c788e5cff0809abbd8~mv2.jpg;e13df5_a0f8375789dc448bbdcb3471f0c4fbb4~mv2.jpg;e13df5_5be8d62428114df99f69964270c06611~mv2.jpg;e13df5_e856a19fa45146adbb02fa30460ab5bc~mv2.jpg;e13df5_6e04590bb30b45f09de9fe1abfee9261~mv2.jpg;e13df5_29cb1731bc6d488699328621996cd5ea~mv2.jpg;e13df5_139c1fe11ec64e9daebc73969e319454~mv2.jpg;e13df5_070649940eed47dcb75512e9113079f1~mv2.jpg;e13df5_d164e38fec034085824f262e27783d1b~mv2.jpg;e13df5_23f0f0fa10e34a4b93becc2115c752f1~mv2.jpg;e13df5_5ae3f3d626464765981b607d09208e88~mv2.jpg;e13df5_1bbc0656bc534a8aaea2bd023c8ed658~mv2.jpg;e13df5_91c1fd9499e74fc6be96244758b2f532~mv2.jpg;e13df5_a3893956fece4c09bb82ed67c23ea10e~mv2.jpg;e13df5_2096a1a6cc1141a7b99f720c04f786e3~mv2.jpg;e13df5_008869da08bd403da21b79b431a2dcff~mv2.jpg;e13df5_7b543c88241a4af7b2ada36c90fb1705~mv2.jpg;e13df5_9a37a8c3b85544f4a7c5aafc4745b854~mv2.jpg;e13df5_984f273b6ed048f4a5ddba7021596a4d~mv2.jpg;e13df5_4a251199302b4a2da96753801985f910~mv2.jpg,Merchandise,,,31.0,,TRUE,PERCENT,0.0,InStock,,,Color,DROP_DOWN,Black;Navy;Maroon;Dark Chocolate;Forest Green;Purple;Sport Grey;Gold;Sand;Light Pink;Ash;White,Size,DROP_DOWN,S;M;L;XL;2XL;3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5532,,,,TRUE,,,InStock,,30.5,,,Black,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_13001,,,2.5,TRUE,,,InStock,,30.14,,,Sand,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5525,,,,TRUE,,,InStock,,30.5,,,White,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20544,,,,TRUE,,,InStock,,28.14,,,Ash,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5556,,,,TRUE,,,InStock,,30.5,,,Dark Chocolate,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5531,,,,TRUE,,,InStock,,30.5,,,Black,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_22123,,,4.5,TRUE,,,InStock,,32.14,,,Gold,,,3XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21631,,,2.5,TRUE,,,InStock,,30.14,,,Purple,,,2XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_13000,,,,TRUE,,,InStock,,28.5,,,Sand,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_20573,,,,TRUE,,,InStock,,28.14,,,Forest Green,,,XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_5524,,,,TRUE,,,InStock,,30.5,,,White,,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_bda2737e-74fe-4ad5-b1e1-b6405f089c96,Variant,,,,,6A61E8B3B0621_21627,,,,TRUE,,,InStock,,28.5,,,Purple,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
